name,value,year,lastValue,rank
Aubameyang,134,2022,132,3
Sterling,133,2022,127,4
Kane,132,2022,130,5
Robertson,124,2022,115,6
Alonso,119,2022,117,7
Sane,115,2022,107,8
van Dijk,113,2022,106,9
Fraser,111,2022,109,10
Salah,151,2021,149,1
Hazard,139,2021,136,2
Aubameyang,132,2021,123,3
Kane,130,2021,118,4
Sterling,127,2021,122,5
Alonso,117,2021,109,6
Robertson,115,2021,110,7
Fraser,109,2021,97,8
Sane,107,2021,97,9
van Dijk,106,2021,105,10
Salah,149,2020,137,1
Hazard,136,2020,133,2
Aubameyang,123,2020,121,3
Sterling,122,2020,116,4
Kane,118,2020,112,5
Robertson,110,2020,109,6
Alonso,109,2020,104,7
van Dijk,105,2020,103,8
Mane,103,2020,96,9
Felipe Anderson,103,2020,101,9
Salah,137,2019,125,1
Hazard,133,2019,118,2
Aubameyang,121,2019,113,3
Sterling,116,2019,114,4
Kane,112,2019,106,5
Robertson,109,2019,103,6
Alonso,104,2019,102,7
van Dijk,103,2019,97,8
Felipe Anderson,101,2019,86,9
Alisson,98,2019,92,10
Salah,125,2018,113,1
Hazard,118,2018,116,2
Sterling,114,2018,112,3
Aubameyang,113,2018,100,4
Kane,106,2018,91,5
Robertson,103,2018,97,6
Alonso,102,2018,100,7
van Dijk,97,2018,82,8
Wilson,95,2018,93,9
Fraser,94,2018,90,10
Sane,94,2018,92,10
Hazard,116,2017,103,1
Salah,113,2017,111,2
Sterling,112,2017,106,3
Aubameyang,100,2017,98,4
Alonso,100,2017,99,4
Robertson,97,2017,95,6
Wilson,93,2017,92,7
Sane,92,2017,82,8
Kane,91,2017,86,9
Mane,90,2017,81,10
Fraser,90,2017,88,10
Salah,111,2016,90,1
Sterling,106,2016,104,2
Hazard,103,2016,94,3
Alonso,99,2016,93,4
Aubameyang,98,2016,93,5
Robertson,95,2016,84,6
Wilson,92,2016,92,7
Fraser,88,2016,86,8
Kane,86,2016,85,9
Sane,82,2016,81,10
Aguero,82,2016,82,10
Sterling,104,2015,104,1
Hazard,94,2015,89,2
Aubameyang,93,2015,91,3
Alonso,93,2015,93,3
Wilson,92,2015,80,5
Salah,90,2015,86,6
Fraser,86,2015,74,7
Kane,85,2015,73,8
Robertson,84,2015,84,9
Aguero,82,2015,82,10
Sterling,104,2014,95,1
Alonso,93,2014,87,2
Aubameyang,91,2014,75,3
Hazard,89,2014,83,4
Salah,86,2014,83,5
Robertson,84,2014,78,6
Aguero,82,2014,82,7
Wilson,80,2014,74,8
Mane,80,2014,77,8
Sane,74,2014,69,10
Sigurdsson,74,2014,72,10
Fraser,74,2014,72,10
Sterling,95,2013,158,1
Alonso,87,2013,86,2
Salah,83,2013,75,3
Hazard,83,2013,82,3
Aguero,82,2013,80,5
Robertson,78,2013,71,6
Mane,77,2013,68,7
Aubameyang,75,2013,67,8
Wilson,74,2013,72,9
Sigurdsson,72,2013,61,10
Fraser,72,2013,70,10
Alonso,86,2012,78,1
Hazard,82,2012,79,2
Aguero,80,2012,73,3
Sterling,79,2012,77,4
Sterling,79,2012,77,4
Salah,75,2012,67,6
Wilson,72,2012,70,7
Robertson,71,2012,59,8
Fraser,70,2012,64,9
Mane,68,2012,65,10
Hazard,79,2011,75,1
Alonso,78,2011,72,2
Sterling,77,2011,56,3
Aguero,73,2011,60,4
Wilson,70,2011,63,5
Salah,67,2011,65,6
Mane,65,2011,63,7
Aubameyang,65,2011,63,7
Fraser,64,2011,62,9
Ederson,60,2011,57,10
Hazard,75,2010,75,1
Alonso,72,2010,61,2
Salah,65,2010,50,3
Mane,63,2010,48,4
Wilson,63,2010,50,4
Aubameyang,63,2010,55,4
Fraser,62,2010,51,7
Aguero,60,2010,58,8
Ederson,57,2010,49,9
Robertson,57,2010,57,9
Hazard,75,2009,74,1
Alonso,61,2009,60,2
Aguero,58,2009,52,3
Robertson,57,2009,49,4
Aubameyang,55,2009,43,5
Trippier,52,2009,46,6
Fraser,51,2009,48,7
Salah,50,2009,42,8
Lacazette,50,2009,48,8
Doherty,50,2009,49,8
Wilson,50,2009,49,8
Sterling,50,2009,50,8
Hazard,74,2008,60,1
Alonso,60,2008,54,2
Aguero,52,2008,51,3
Sterling,50,2008,47,4
Doherty,49,2008,34,5
Wilson,49,2008,35,5
Robertson,49,2008,43,5
Lacazette,48,2008,36,8
Fraser,48,2008,42,8
Mane,48,2008,45,8
Hazard,60,2007,50,1
Alonso,54,2007,52,2
Aguero,51,2007,43,3
Sterling,47,2007,33,4
Mane,45,2007,44,5
Kane,44,2007,31,6
Robertson,43,2007,41,7
Fraser,42,2007,41,8
Maddison,40,2007,34,9
Mitrovic,40,2007,39,9
Alonso,52,2006,46,1
Hazard,50,2006,47,2
Mane,44,2006,41,3
Aguero,43,2006,37,4
Robertson,41,2006,34,5
Fraser,41,2006,39,5
Mitrovic,39,2006,31,7
Salah,37,2006,29,8
Hennessey,35,2006,27,9
Holebas,35,2006,34,9
Hazard,47,2005,27,1
Alonso,46,2005,44,2
Mane,41,2005,39,3
Fraser,39,2005,21,4
Aguero,37,2005,30,5
Robertson,34,2005,32,6
Holebas,34,2005,34,6
Etheridge,32,2005,31,8
Mendy,32,2005,32,8
Mitrovic,31,2005,29,10
Lucas Moura,31,2005,29,10
Alonso,44,2004,35,1
Mane,39,2004,29,2
Holebas,34,2004,24,3
Robertson,32,2004,27,4
Mendy,32,2004,27,4
Etheridge,31,2004,28,6
Aguero,30,2004,24,7
Lucas Moura,29,2004,24,8
Mitrovic,29,2004,24,8
Pereyra,28,2004,26,10
Alonso,35,2003,24,1
Mane,29,2003,26,2
Etheridge,28,2003,22,3
Robertson,27,2003,18,4
Mendy,27,2003,23,4
Pereyra,26,2003,18,6
Salah,25,2003,17,7
Mitrovic,24,2003,0,8
Lucas Moura,24,2003,0,8
Holebas,24,2003,15,8
Aguero,24,2003,22,8
Mane,26,2002,16,1
Alonso,24,2002,11,2
Richarlison,23,2002,14,3
Mendy,23,2002,15,3
Aguero,22,2002,0,5
Etheridge,22,2002,0,5
Steve Cook,20,2002,0,7
Pogba,18,2002,10,8
Robertson,18,2002,11,8
Pereyra,18,2002,16,8
Mane,16,2001,0,1
Pereyra,16,2001,0,1
Mendy,15,2001,0,3
Richarlison,14,2001,0,4
Holebas,13,2001,0,5
Wan-Bissaka,12,2001,0,6
Neves,12,2001,0,6
Schlupp,11,2001,0,8
van Aanholt,11,2001,0,8
Shaw,11,2001,0,8
McCarthy,11,2001,0,8
Alonso,11,2001,0,8
Fraser,11,2001,0,8
Robertson,11,2001,0,8
Vertonghen,11,2001,0,8
